,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
0,2.486366e+22,93.645,-0.00199532,11369.5,43.878,1841.892,55.668,-0.00378194,49.743,98.729,0.09679252,35607200000000.0,2093770000000.0,5.241991e+23,42.772,987.665344,4.543,69.267,401,11166,M2.0,2011.03.06_06:30_TAI
1,5.632764e+22,93.223,0.00796979,10725.61,32.061,4115.985,52.577,0.01648864,43.291,102.209,0.00282358,76986030000000.0,34434060000000.0,1.132732e+24,37.355,2140.228027,4.998,633.774,393,11164,M3.7,2011.03.06_12:12_TAI
2,2.154916e+22,119.629,0.0121793,4872.758,17.913,1584.439,55.686,0.03330419,36.93,121.075,0.02835626,31522550000000.0,20482560000000.0,2.076492e+23,30.475,1059.887695,4.238,390.785,637,11226,M2.5,2011.06.05_22:41_TAI
3,2.072339e+22,111.487,0.03305012,12619.02,44.879,2846.96,75.736,0.07952484,53.993,118.066,0.28799379,47113000000000.0,40948140000000.0,5.715865e+23,44.452,1275.300781,4.803,1127.24,750,11261,M6.0,2011.08.02_05:48_TAI
4,2.220024e+22,107.919,0.03219435,11255.84,44.285,2907.981,68.901,0.07886518,52.405,115.531,0.26140863,49039760000000.0,40146130000000.0,5.580035e+23,44.249,1265.014893,4.722,1201.654,750,11261,M9.3,2011.08.02_19:57_TAI
5,1.533775e+22,111.239,0.00984273,9956.972,39.995,1603.963,68.462,0.02617908,51.084,114.165,0.34991011,31191720000000.0,12510800000000.0,3.399182e+23,41.413,1264.955933,4.325,253.017,833,11283,X1.8,2011.09.06_14:38_TAI
6,6.212528e+22,106.619,-0.00832303,7868.285,33.6,4975.641,56.486,-0.02127554,45.735,111.052,0.15653497,106812800000000.0,15342550000000.0,1.045821e+24,38.571,3268.401855,4.757,832.961,1321,11402,M8.7,2012.01.21_19:59_TAI
7,5.203432e+22,69.64,-0.00763895,4032.594,12.048,2209.053,31.193,-0.02084443,30.912,74.66,0.02262462,43126010000000.0,23210710000000.0,4.033092e+23,23.058,1133.942749,4.435,575.258,1321,11402,X1.8,2012.01.26_10:37_TAI
8,3.534718e+22,60.138,-0.02244694,16964.72,45.349,2193.11,40.277,-0.03093235,50.175,80.305,0.02164343,30039550000000.0,31162270000000.0,9.038993e+23,44.449,1153.923584,4.448,900.526,1449,11429,X1.1,2012.03.03_20:09_TAI
9,5.052501e+22,85.134,-0.02672654,15981.29,42.309,4685.344,59.166,-0.04204934,49.62,102.436,0.05106595,71929860000000.0,58177990000000.0,1.358051e+24,44.302,1601.243042,4.973,1710.124,1449,11429,X5.4,2012.03.05_16:24_TAI
10,5.092289e+22,85.292,-0.02749887,15902.66,43.38,4839.479,59.315,-0.04439437,50.262,101.796,0.04970052,73742310000000.0,57104560000000.0,1.392003e+24,45.037,1616.493164,4.993,1812.396,1449,11430,X1.3,2012.03.05_17:14_TAI
