,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
0,1.080978e+22,120.026,0.02835603,9200.471,47.881,1511.92,88.369,0.0672066,59.424,124.747,0.20358285,29816600000000.0,21481890000000.0,2.340601e+23,47.746,470.031311,4.365,543.16,377,11158,X2.2,2011.02.13_01:56_TAI
1,2.722415e+22,83.05,-0.00176622,10861.63,41.395,1836.767,51.336,-0.00350233,48.218,89.926,0.12272736,35025380000000.0,2437185000000.0,5.522075e+23,41.387,1038.552368,4.406,67.611,401,11166,M2.0,2011.03.05_14:30_TAI
2,4.90407e+22,96.481,0.00928932,11965.96,39.268,3761.582,55.25,0.01894681,46.967,105.997,0.05553023,73188310000000.0,38526990000000.0,1.136452e+24,40.626,1895.631958,4.999,664.288,393,11164,M3.7,2011.03.05_20:12_TAI
3,2.116432e+22,116.372,0.00807666,5260.958,23.148,1593.884,57.156,0.02415953,40.915,117.51,0.31139961,32964240000000.0,16321820000000.0,2.408346e+23,33.434,1168.90625,4.059,278.394,637,11226,M2.5,2011.06.05_06:41_TAI
4,2.15857e+22,110.401,0.01738371,13041.98,45.258,2859.943,77.675,0.0417088,55.0,116.955,0.37192836,50919460000000.0,29155480000000.0,6.110265e+23,45.047,1350.126831,4.831,613.245,750,11261,M6.0,2011.08.01_13:48_TAI
5,2.037379e+22,111.742,0.03402044,13515.83,46.457,2783.603,78.209,0.07749308,55.234,119.519,0.08744754,45000120000000.0,45248680000000.0,5.826449e+23,45.111,1278.300293,4.767,1104.303,750,11261,M9.3,2011.08.02_03:57_TAI
6,1.769037e+22,108.276,0.00593565,8420.214,43.072,1716.008,69.624,0.01753279,54.686,110.116,0.44407681,36349590000000.0,9478957000000.0,3.617848e+23,43.996,1382.22644,4.411,192.036,833,11283,X1.8,2011.09.05_22:38_TAI
7,6.189564e+22,105.147,-0.01219981,9760.736,37.354,4900.359,59.322,-0.02800185,47.891,109.424,0.16098681,100470100000000.0,33106940000000.0,1.234385e+24,40.34,3211.495117,4.81,1161.703,1321,11402,M8.7,2012.01.21_03:59_TAI
8,7.453157e+22,75.828,-0.00645133,3595.075,10.852,3298.541,31.916,-0.01944386,29.732,79.311,0.01009511,67702720000000.0,29055090000000.0,5.418488e+23,23.785,1700.428833,4.543,732.136,1321,11402,X1.8,2012.01.25_18:37_TAI
9,4.733254e+22,83.404,-0.02443276,14309.38,39.271,3916.247,56.966,-0.03803458,48.274,101.462,-9.444e-05,61101350000000.0,50756820000000.0,1.109898e+24,42.797,1422.027832,4.905,1426.971,1449,11429,X5.4,2012.03.05_00:24_TAI
10,4.808665e+22,83.857,-0.02445505,14159.18,38.865,4081.899,57.175,-0.03778154,48.086,102.698,-0.03458134,62666880000000.0,50160810000000.0,1.111825e+24,42.42,1440.427734,4.889,1445.88,1449,11430,X1.3,2012.03.05_01:14_TAI
11,5.625798e+22,94.663,-0.03436743,17929.31,49.364,5773.121,64.675,-0.05714045,53.159,111.434,-0.0377166,90828270000000.0,87436060000000.0,1.761317e+24,46.923,2117.921875,5.208,2542.09,1449,11429,M6.3,2012.03.07_03:53_TAI
12,5.064228e+22,97.39,-0.02907739,15257.97,50.878,4754.734,64.831,-0.05595112,53.679,106.553,0.03363859,85410850000000.0,87994170000000.0,1.461144e+24,47.144,2383.192383,5.097,2096.655,1449,11429,M8.4,2012.03.08_17:44_TAI
13,5.522871e+22,96.056,-0.01781576,10007.78,32.529,3801.281,50.157,-0.03909461,43.548,101.048,-0.12208816,74717300000000.0,69248490000000.0,1.068698e+24,37.95,2096.564453,4.797,1432.476,1449,11429,M7.9,2012.03.11_17:41_TAI
14,4.70463e+22,88.462,-0.00595232,6890.631,23.307,2824.398,43.205,-0.01519228,38.679,92.705,-0.09399701,58620000000000.0,23291740000000.0,6.698397e+23,33.356,1469.244507,4.606,435.686,1638,11476,M5.1,2012.05.15_01:47_TAI
15,2.767069e+22,106.361,0.00418895,7145.634,29.943,2233.739,63.602,0.00868005,44.872,116.238,-0.03487817,42971050000000.0,6203341000000.0,3.655441e+23,37.678,1027.432251,4.715,161.358,1750,11504,M1.2,2012.06.11_13:17_TAI
16,3.253885e+22,96.436,0.00915264,10555.44,45.68,2693.159,61.893,0.01994837,52.17,103.522,0.05037048,57166060000000.0,20108280000000.0,7.076614e+23,44.816,1344.693848,4.79,462.007,1750,11504,M1.9,2012.06.12_14:35_TAI
17,4.862505e+22,109.955,-0.00683317,14320.69,45.633,5983.735,73.346,-0.01270913,52.463,124.787,-0.11545843,99764430000000.0,21981450000000.0,1.322719e+24,44.87,2063.722656,5.234,475.24,1807,11515,X1.1,2012.07.04_23:08_TAI
18,6.773257e+22,97.671,-0.0199871,13684.2,33.681,6694.946,61.004,-0.03294911,45.194,112.659,-0.16330315,103287100000000.0,56654720000000.0,1.559408e+24,38.71,2514.309326,5.154,1714.993,1807,11515,M6.9,2012.07.06_16:32_TAI
19,1.142991e+23,88.846,0.00598453,9847.579,29.006,7292.7,46.056,0.01195318,41.455,94.014,-0.1474448,133017000000000.0,46217820000000.0,2.055865e+24,35.936,3917.258301,5.104,940.732,1834,11520,M1.8,2012.07.15_17:15_TAI
20,6.980313e+22,77.216,-0.0006,5846.495,18.043,3305.562,36.097,-0.00142412,34.686,82.529,0.02828351,60334110000000.0,1509373000000.0,7.641109e+23,29.044,2129.753174,4.457,59.046,1879,11532,M6.2,2012.07.26_20:56_TAI
21,1.442774e+22,117.689,-0.0024144,4746.738,28.686,1466.642,66.797,-0.00744565,46.582,119.624,0.17739947,32255250000000.0,2292191000000.0,1.586433e+23,37.05,675.261841,4.247,60.758,2220,11618,M3.5,2012.11.19_15:30_TAI
22,2.157908e+22,105.656,-0.01100127,6197.901,26.76,1659.604,55.882,-0.02796401,42.16,106.303,0.14128846,33451530000000.0,9822472000000.0,2.752311e+23,35.522,967.104492,4.284,367.85,2635,11719,M6.5,2013.04.09_07:16_TAI
23,2.675542e+22,101.02,-0.00270573,4099.173,13.557,1368.098,40.923,-0.00808069,32.52,102.65,-0.08657014,29684140000000.0,2302148000000.0,2.226167e+23,27.633,1090.680908,3.144,110.645,2739,11745,M5.0,2013.05.20_13:32_TAI
24,3.157145e+22,86.737,0.01342599,6713.364,21.562,1924.928,42.619,0.03036954,36.988,93.438,-0.18809952,34652170000000.0,26358790000000.0,3.925649e+23,30.976,829.287231,4.338,591.133,2790,11762,M5.9,2013.06.05_22:49_TAI
25,2.273103e+22,110.712,-0.00020966,4433.283,23.656,1784.388,54.98,-0.00065984,42.031,112.83,0.14509314,40608710000000.0,2901473000000.0,2.259129e+23,34.833,1073.618286,4.231,8.045,3291,11875,M4.3,2013.10.20_21:20_TAI
26,4.18118e+22,86.073,0.00731424,10032.9,31.694,2352.733,42.804,0.01549442,43.697,89.966,0.04166035,47025580000000.0,18845800000000.0,8.299871e+23,37.555,1240.95105,4.378,455.604,3295,11877,M9.3,2013.10.22_00:30_TAI
27,3.9932e+22,99.367,-0.01452078,13366.03,42.901,3417.319,60.185,-0.02713936,49.945,106.719,0.27965558,64218210000000.0,27290870000000.0,1.017682e+24,43.214,1816.481323,4.756,832.433,3291,11875,X1.0,2013.10.26_02:03_TAI
28,4.227633e+22,97.553,-0.0119867,11927.45,39.337,3429.456,56.283,-0.02478352,48.204,104.119,0.27765945,65800180000000.0,24577980000000.0,1.008433e+24,41.499,1832.123779,4.795,763.073,3291,11875,M5.1,2013.10.26_04:41_TAI
29,6.376673e+22,76.976,-0.00837188,10455.53,29.02,3747.27,41.269,-0.01733835,41.563,85.103,0.09792414,70698440000000.0,37106450000000.0,1.246924e+24,36.276,1961.873901,4.378,751.786,3291,11875,X2.3,2013.10.27_21:54_TAI
30,5.636904e+22,100.951,0.01235445,12818.34,38.284,5301.218,60.852,0.02340456,47.232,109.636,-0.15689364,91605120000000.0,18438970000000.0,1.312685e+24,41.124,2474.649414,5.03,952.651,3341,11890,X1.1,2013.11.06_04:26_TAI
31,3.911153e+22,104.834,0.01072423,12418.96,46.614,4121.86,67.976,0.02258741,54.217,109.285,0.0668925,75079390000000.0,12024260000000.0,9.913571e+23,45.706,2302.534424,4.646,644.59,3341,11890,X1.1,2013.11.08_05:14_TAI
32,6.257831e+22,89.688,0.00336175,5553.308,18.953,3644.25,43.164,0.00764271,35.863,97.029,-0.0929563,65387640000000.0,9336425000000.0,6.363256e+23,30.361,1954.205933,4.553,290.055,3535,11936,M1.9,2014.01.02_22:52_TAI
33,9.795289e+22,91.225,0.01304722,14354.63,44.89,7445.636,55.185,0.02545633,51.173,95.648,0.17586716,153442100000000.0,70036260000000.0,2.838109e+24,45.036,4346.020996,5.03,1942.366,3563,11944,X1.2,2014.01.05_18:32_TAI
34,4.690308e+21,105.755,-0.00302475,5786.199,19.582,309.722,58.806,-0.00593088,38.865,108.019,-0.10645924,5297233000000.0,1383659000000.0,4.748146e+22,30.911,120.876663,3.618,18.69,3587,11947,M3.6,2014.01.06_03:47_TAI
35,2.077766e+22,113.548,0.00528105,6408.524,23.878,1593.013,55.844,0.01385774,40.958,114.2,-0.0407792,32037740000000.0,6698463000000.0,2.788734e+23,33.367,890.550903,4.16,173.039,3721,11974,M1.7,2014.02.09_03:31_TAI
36,1.063086e+22,123.116,0.00230108,6996.656,30.415,985.753,73.554,0.00528173,49.391,124.008,0.27877367,19168110000000.0,3202021000000.0,1.514389e+23,36.736,770.707642,3.209,37.501,3894,12017,X1.0,2014.03.27_17:48_TAI
37,2.670377e+22,94.185,0.00692632,12838.01,57.408,2754.864,67.136,0.01644539,60.312,99.589,0.12030143,55252400000000.0,12085370000000.0,7.952374e+23,51.433,1434.963989,4.638,323.057,3999,12036,M7.3,2014.04.16_13:03_TAI
38,7.296049e+22,78.572,0.00673681,5154.564,17.099,4234.013,37.851,0.0190706,35.467,85.167,0.0339228,76928330000000.0,27340810000000.0,7.74649e+23,27.757,2011.768677,4.402,762.338,4000,12035,X1.3,2014.04.23_00:27_TAI
39,3.9994e+22,96.545,-0.01558285,8861.284,29.652,3078.064,52.971,-0.03138125,42.308,104.187,-0.12409662,51159080000000.0,30983230000000.0,6.370352e+23,35.918,1346.785156,4.678,843.531,4071,12051,M1.8,2014.05.04_09:03_TAI
40,4.21867e+22,87.764,-0.004422,7634.423,25.6,2834.775,47.24,-0.01043595,40.257,94.119,-0.05967289,51694300000000.0,10654170000000.0,6.243608e+23,33.627,1194.489746,4.328,272.293,4071,12051,M1.0,2014.05.04_22:09_TAI
41,6.487502e+22,97.899,0.00341109,11295.23,43.716,4887.995,58.441,0.00703635,50.792,103.31,-0.03775452,101171300000000.0,11002310000000.0,1.455894e+24,43.813,3054.496826,4.829,331.06,4197,12085,M3.1,2014.06.10_22:16_TAI
42,1.340563e+23,93.569,-0.00343566,19082.77,49.827,11371.121,59.144,-0.00631035,53.055,105.376,0.13050587,215026600000000.0,13113740000000.0,4.884995e+24,47.417,6457.46582,5.411,662.231,4698,12192,M4.0,2014.10.22_07:48_TAI
43,5.048493e+22,76.183,0.01524091,5968.707,20.559,3581.768,41.754,0.03793878,37.204,86.951,-0.0576741,60990610000000.0,36801660000000.0,5.859421e+23,31.039,1290.793823,4.668,1126.547,4781,12205,X1.6,2014.11.05_17:26_TAI
44,1.580849e+22,102.973,0.01185022,6141.375,19.57,1203.966,55.822,0.02307962,37.182,113.925,-0.1893377,20001150000000.0,9113390000000.0,1.644579e+23,30.815,439.656372,4.479,238.948,4941,12241,M1.1,2014.12.15_01:50_TAI
45,5.326936e+22,112.16,0.00755203,7354.873,26.046,4545.312,56.085,0.02026068,42.236,117.227,0.46129009,91575080000000.0,29570260000000.0,8.216209e+23,34.379,4031.270508,4.814,635.247,4920,12242,M8.7,2014.12.15_04:51_TAI
46,2.818295e+22,100.521,0.01343019,12457.1,45.626,2493.532,64.443,0.02647704,52.83,110.654,0.20178758,50445090000000.0,23143120000000.0,6.800402e+23,45.476,1134.236694,4.821,552.061,4941,12241,M6.9,2014.12.16_21:58_TAI
47,8.309751e+22,110.267,0.00806773,10052.27,33.218,7050.74,61.406,0.02063093,45.951,115.593,0.34648198,142574100000000.0,56870630000000.0,1.752823e+24,38.517,4894.158203,5.201,1059.245,4920,12242,X1.8,2014.12.18_00:28_TAI
48,2.930655e+22,81.042,0.01762545,16585.88,60.963,2344.307,56.638,0.03508957,60.338,88.045,0.11977819,46739790000000.0,38240180000000.0,1.037086e+24,52.956,1398.136108,4.555,829.788,4941,12241,M1.0,2014.12.19_12:17_TAI
49,2.655739e+22,92.926,0.00073904,8908.236,39.939,1938.543,55.65,0.00162749,48.367,99.23,-0.11791388,39026130000000.0,2377585000000.0,4.687845e+23,41.829,902.705505,4.321,29.285,5026,12257,M5.6,2015.01.11_04:24_TAI
50,1.251979e+22,118.488,0.01334592,7622.78,40.587,1436.386,77.088,0.03567201,54.373,121.544,0.32547474,30318710000000.0,16489310000000.0,2.225627e+23,42.797,807.986084,4.339,293.383,5144,12280,M2.4,2015.02.07_23:35_TAI
51,3.109117e+22,96.301,0.02254527,7220.518,29.105,2530.456,50.081,0.05913357,42.965,101.197,0.02902003,50772840000000.0,49586970000000.0,4.832556e+23,37.751,1102.83728,4.784,1136.191,5298,12297,X2.2,2015.03.09_16:22_TAI
52,3.093069e+22,98.037,0.01838273,9549.849,31.723,2882.792,52.33,0.04462511,43.396,102.787,0.24421778,49710270000000.0,25789750000000.0,6.165656e+23,37.35,1183.713501,4.591,893.64,5298,12297,M1.0,2015.03.15_23:34_TAI
53,5.394399e+22,81.588,-0.00962323,16522.95,49.939,3981.573,54.442,-0.01564005,52.805,92.128,0.00547018,73197790000000.0,28169130000000.0,1.596786e+24,47.054,1825.568237,4.933,700.263,5692,12371,M2.0,2015.06.19_01:42_TAI
