,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
0,2.354865e+22,97.742,0.01952299,15409.54,58.025,2881.773,71.773,0.0399414,60.309,105.125,0.03341774,49627140000000.0,18925730000000.0,7.702651e+23,51.646,1039.313354,4.725,734.767,377,11158,X2.2,2011.02.14_09:56_TAI
1,2.311971e+22,93.872,-0.00446828,10774.44,45.97,1649.572,56.987,-0.0092549,51.823,97.821,0.19324419,33894030000000.0,6658077000000.0,5.012993e+23,44.324,918.397766,4.153,156.537,401,11166,M2.0,2011.03.06_22:30_TAI
2,6.373076e+22,86.511,0.00289574,8684.113,26.488,4209.664,47.211,0.0061313,40.249,94.473,-0.01256751,77406120000000.0,19718080000000.0,1.026934e+24,35.13,1874.800903,4.735,257.842,393,11164,M3.7,2011.03.07_04:12_TAI
3,2.288487e+22,114.19,0.01151696,3659.115,10.951,1494.737,48.579,0.03302801,32.488,115.493,-0.32956719,29814190000000.0,21272820000000.0,1.650324e+23,27.209,875.609192,4.094,391.116,637,11226,M2.5,2011.06.06_14:41_TAI
4,2.148537e+22,105.566,0.03717466,12268.69,44.29,2801.141,69.583,0.08738631,52.766,114.071,0.17841488,44768960000000.0,41710960000000.0,5.649563e+23,44.331,1261.784912,4.71,1288.957,750,11261,M6.0,2011.08.02_21:48_TAI
5,2.267039e+22,106.831,0.03267359,9957.386,38.433,2700.971,66.035,0.08917928,49.442,113.468,0.07401713,47706890000000.0,54562230000000.0,4.990815e+23,41.235,1294.375,4.841,1233.069,750,11261,M9.3,2011.08.03_11:57_TAI
6,1.727272e+22,110.568,0.01381683,9011.44,34.458,1691.116,61.882,0.03762471,47.106,114.801,0.37018105,33366700000000.0,19451050000000.0,3.453608e+23,38.551,1186.072754,4.323,398.726,833,11283,X1.8,2011.09.07_06:38_TAI
7,6.273801e+22,73.536,-0.014669,14922.3,37.955,5124.676,48.485,-0.02401054,46.281,87.327,0.04449947,79300750000000.0,33797980000000.0,1.607177e+24,41.011,1955.571655,4.828,1189.597,892,11302,X1.9,2011.09.23_17:40_TAI
8,3.826392e+22,69.975,-0.01941036,12540.21,39.272,2520.334,47.525,-0.03188192,48.065,86.361,-0.06171124,41782180000000.0,38622250000000.0,7.907631e+23,42.829,1246.927246,4.593,921.643,1449,11429,X1.1,2012.03.04_12:09_TAI
9,5.358057e+22,87.549,-0.02737492,16325.74,47.575,5013.265,59.388,-0.04614211,52.094,103.684,0.02107924,80860770000000.0,71603510000000.0,1.533887e+24,46.681,1872.665771,5.222,1936.666,1449,11429,X5.4,2012.03.06_08:24_TAI
10,5.350537e+22,85.76,-0.02617485,15786.37,48.117,4854.265,57.603,-0.04623368,52.465,101.594,0.04058479,81376490000000.0,72625390000000.0,1.525623e+24,47.009,1873.830444,5.216,1904.718,1449,11430,X1.3,2012.03.06_09:14_TAI
11,5.285024e+22,93.068,-0.02713226,14015.73,50.968,5035.161,61.56,-0.05733041,54.138,102.619,-0.05221973,94029100000000.0,87506930000000.0,1.497159e+24,47.541,2371.583984,5.156,2182.248,1449,11429,M6.3,2012.03.08_11:53_TAI
12,5.04208e+22,101.676,-0.02333765,11652.39,43.267,4045.075,58.888,-0.04817079,49.51,106.866,0.15432687,76670870000000.0,76218450000000.0,1.148701e+24,42.492,2257.891113,4.8,1732.26,1449,11429,M8.4,2012.03.10_01:44_TAI
13,4.535506e+22,71.733,-0.00241583,6404.46,17.696,1913.196,32.473,-0.00595095,34.335,74.717,-0.1757504,37279730000000.0,8784478000000.0,5.611102e+23,27.927,972.209167,4.202,159.37,1638,11476,M5.1,2012.05.16_09:47_TAI
14,3.505659e+22,100.694,0.013795,11465.9,46.685,3029.275,65.069,0.02775541,53.054,108.484,-0.05856045,62562700000000.0,36329870000000.0,8.014697e+23,45.43,1448.241699,4.876,726.072,1750,11504,M1.2,2012.06.12_21:17_TAI
15,6.55231e+22,99.937,-0.01744459,13407.83,34.101,6713.246,61.323,-0.03174853,45.662,113.619,0.01171144,108212500000000.0,51639130000000.0,1.585125e+24,39.202,2363.182861,5.247,1552.9,1807,11515,X1.1,2012.07.06_07:08_TAI
16,8.247142e+22,81.596,-0.00276688,11274.77,27.398,6803.39,47.894,-0.00525121,40.987,100.383,-0.12146942,104921600000000.0,7665983000000.0,1.636593e+24,35.006,2553.962646,4.752,302.415,1807,11515,M6.9,2012.07.08_00:32_TAI
17,8.694584e+22,98.739,0.01058428,13276.2,46.697,7054.144,59.774,0.02221533,52.937,103.544,0.23778494,138841100000000.0,60982250000000.0,2.39018e+24,45.607,4545.015625,5.012,1434.763,1834,11520,X1.4,2012.07.12_00:49_TAI
18,8.320916e+22,90.919,-0.0024522,6456.802,19.999,4758.356,43.713,-0.00564089,36.812,94.472,-0.00627283,89385900000000.0,6200315000000.0,9.972633e+23,30.892,2830.696533,4.601,285.179,1879,11532,M6.2,2012.07.28_04:56_TAI
19,1.700708e+22,113.21,-0.02058506,9657.857,41.149,2178.93,76.899,-0.05149033,53.956,119.665,0.25917861,38235320000000.0,24262240000000.0,3.62939e+23,43.091,965.38855,4.63,582.454,2220,11618,M3.5,2012.11.20_23:30_TAI
20,1.687176e+22,97.112,-0.0080643,12616.75,36.386,1184.046,51.485,-0.01787295,47.288,98.774,0.69310486,26413410000000.0,9711648000000.0,4.515132e+23,40.16,973.539429,4.012,217.309,2546,11692,M1.2,2013.03.14_14:58_TAI
21,1.742296e+22,105.463,-0.00892484,6837.568,34.284,1368.17,60.572,-0.02460879,48.057,104.208,0.52006555,30314110000000.0,8242056000000.0,2.725722e+23,39.342,1110.294922,3.851,267.888,2635,11719,M6.5,2013.04.10_15:16_TAI
22,2.450179e+22,77.429,-0.0020897,2729.55,10.528,926.332,30.1,-0.00689673,28.727,79.034,-0.13523763,20499130000000.0,3898280000000.0,1.40239e+23,23.428,510.224609,3.38,80.844,2739,11745,M5.0,2013.05.21_21:32_TAI
23,2.485568e+22,113.441,-0.00832474,10331.48,41.343,2953.094,74.357,-0.02035953,52.796,120.703,0.25231129,56977240000000.0,7674797000000.0,5.553576e+23,43.253,1600.945923,4.845,336.952,3291,11875,M4.3,2013.10.22_05:20_TAI
24,3.401136e+22,97.664,0.01064479,11469.68,41.287,2640.141,55.054,0.02349092,49.698,100.449,0.1367425,56889600000000.0,27542020000000.0,8.28253e+23,42.82,1596.384766,4.448,578.8,3295,11877,M9.3,2013.10.23_08:30_TAI
25,5.595107e+22,89.336,-0.00978223,10263.3,28.369,3490.802,47.087,-0.02025522,41.974,96.577,0.11478293,67020940000000.0,35947680000000.0,1.073808e+24,36.143,1896.0979,4.645,770.625,3291,11875,X1.0,2013.10.27_10:03_TAI
26,4.378651e+22,101.33,0.0094517,12500.13,46.048,4401.104,65.759,0.02074942,52.803,105.258,0.0017887,83700640000000.0,17387050000000.0,1.117877e+24,45.233,2369.43042,4.812,636.468,3341,11890,X1.1,2013.11.07_12:26_TAI
27,3.482377e+22,105.69,0.01295531,11174.41,44.366,3340.257,66.683,0.02995961,53.142,110.056,0.23569316,64303460000000.0,16864690000000.0,8.367743e+23,44.219,2162.272949,4.631,730.472,3341,11890,X1.1,2013.11.09_13:14_TAI
28,5.792401e+22,79.043,0.00996549,7369.73,22.57,3440.953,43.186,0.02095156,38.621,88.836,-0.12210119,58600300000000.0,30108640000000.0,7.684519e+23,31.626,1577.476074,4.782,782.411,3364,11893,X1.0,2013.11.18_18:26_TAI
