,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
0,2.064e+22,101.898,0.02385827,14961.5,56.868,2722.327,75.754,0.05042339,60.203,111.646,0.11228786,46652480000000.0,15112490000000.0,6.680138e+23,51.259,905.845886,4.902,802.115,377,11158,X2.2,2011.02.13_21:56_TAI
1,2.423433e+22,91.235,-0.00195402,10071.35,42.908,1730.18,56.111,-0.0042421,50.212,95.642,0.06818345,36583940000000.0,1300385000000.0,4.925819e+23,43.115,975.528748,4.507,71.963,401,11166,M2.0,2011.03.06_10:30_TAI
2,5.675121e+22,93.679,0.00770913,11034.94,32.04,4279.887,52.847,0.01495036,42.901,102.69,-0.09150223,76942130000000.0,34277160000000.0,1.124045e+24,37.407,2077.890381,5.016,591.267,393,11164,M3.7,2011.03.06_16:12_TAI
3,2.183049e+22,119.061,0.01229879,4431.856,15.713,1574.953,54.174,0.03446128,35.626,120.209,0.07166313,31488850000000.0,19214630000000.0,1.923095e+23,29.506,1005.438721,4.168,401.838,637,11226,M2.5,2011.06.06_02:41_TAI
4,1.91016e+22,111.006,0.03609087,13567.09,46.657,2603.049,78.473,0.07982689,54.81,117.29,0.21156329,42407250000000.0,37673650000000.0,5.414499e+23,45.285,1269.662476,4.75,1084.531,750,11261,M6.0,2011.08.02_09:48_TAI
5,2.170676e+22,106.488,0.03650907,12910.29,44.72,2791.747,70.608,0.07993565,52.921,116.212,0.20379168,44518200000000.0,42789150000000.0,5.769272e+23,44.249,1259.591919,4.726,1228.457,750,11261,M9.3,2011.08.02_23:57_TAI
6,1.504636e+22,113.315,0.00943739,10575.33,38.719,1569.794,70.109,0.02286168,50.763,118.141,0.09661629,29111250000000.0,12369730000000.0,3.31352e+23,40.682,1243.786011,4.335,222.656,833,11283,X1.8,2011.09.06_18:38_TAI
7,6.030363e+22,112.298,-0.00864706,8507.021,33.507,4818.617,61.632,-0.02002924,45.745,116.292,-0.00138529,98387120000000.0,16367550000000.0,1.029571e+24,38.141,3180.347412,4.686,788.007,1321,11402,M8.7,2012.01.21_23:59_TAI
8,3.757173e+22,58.174,-0.02230825,16258.12,44.624,2296.101,40.031,-0.03265119,49.809,74.33,0.04841812,32231890000000.0,35781070000000.0,9.533944e+23,44.132,1151.41272,4.353,985.043,1449,11429,X1.1,2012.03.04_00:09_TAI
9,5.142387e+22,88.252,-0.03146927,17599.9,43.938,4831.656,59.808,-0.04699681,50.262,106.944,0.02790808,73848910000000.0,70630220000000.0,1.481082e+24,45.056,1688.995361,5.08,1994.05,1449,11429,X5.4,2012.03.05_20:24_TAI
10,5.217151e+22,86.799,-0.02976326,17399.06,44.925,4690.341,58.46,-0.04712756,50.748,104.105,-0.0219745,74254310000000.0,73064840000000.0,1.544292e+24,45.704,1707.463501,5.099,1989.078,1449,11430,X1.3,2012.03.05_21:14_TAI
11,5.753869e+22,96.977,-0.03192621,16561.67,51.511,5856.465,65.947,-0.05619069,54.135,109.698,-0.00337668,99308060000000.0,91725440000000.0,1.72328e+24,47.513,2291.608398,5.186,2501.323,1449,11429,M6.3,2012.03.07_23:53_TAI
12,4.929705e+22,96.751,-0.02549556,12824.73,47.337,4351.375,61.305,-0.05543993,52.391,103.311,0.11072412,83778400000000.0,81818150000000.0,1.293702e+24,45.268,2384.068359,4.966,1936.541,1449,11429,M8.4,2012.03.09_13:44_TAI
